location,locationID,taxon,taxonID,eventDate,habitat,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,datasetName,bibliographicCitation
Luxembourg,150,Asclepias syriaca,29009,1836,terrestrial,"",uncertain,casual,"",FirstRecords,"Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1)"
Moldova,156,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Montenegro,165,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Netherlands,184,Asclepias syriaca,29009,1899,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Poland,197,Asclepias syriaca,29009,1872,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Romania,207,Asclepias syriaca,29009,1939,terrestrial,present,introduced,"","",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Russia,208,Asclepias syriaca,29009,1964,terrestrial,present,introduced; uncertain,casual,"",FirstRecords; GRIIS,"Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Russia,208,Asclepias syriaca,29009,,terrestrial,"",introduced,"","",GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3)"
Serbia,226,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Slovakia,229,Asclepias syriaca,29009,1917,terrestrial,present,introduced,invasive,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Slovenia,230,Asclepias syriaca,29009,1860,terrestrial,"",introduced,established,"",FirstRecords; GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1)"
Spain,80,Asclepias syriaca,29009,,terrestrial,"",introduced,"","",GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3)"
Sweden,231,Asclepias syriaca,29009,2001,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Switzerland,50,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Ukraine,251,Asclepias syriaca,29009,1887,terrestrial,present,introduced,"","",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
United States of America,256,Asclepias syriaca,29009,,terrestrial,"",introduced,"","",GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3)"
United States of America,256,Asclepias syriaca,29009,,terrestrial,present,native,"","",GIATAR; WCVP,"Govaerts, R. WCVP: World Checklist of Vascular Plants. Royal Botanic Gardens, Kew (2024) https://sftp.kew.org/pub/data-repositories/WCVP/ (v. 13) Saffer, A. & Worm, T. Global Invasive and Alien Traits and Records (GIATAR) dataset. Zenodo https://doi.org/10.5281/ZENODO.15042321 (2025) (v. 3)"
Uzbekistan,257,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GRIIS,"Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
